run_id,condition_id,condition_name,model,model_label,hhi,sector_hhi,portfolio_beta,portfolio_vol,return_12m,breadth,sector_Consumer Goods,sector_Energy,sector_Financials,sector_Healthcare,sector_Industrials,sector_Technology
openai_technical_000_20260427T233406216265,2,technical,gpt-4o,openai,0.0557675296578251,0.1769482054729711,0.8286740398,29.378121774399997,12.3935914112,20,17.127073,7.734806,19.889503,17.679558,17.679558,19.889503
openai_control_028_20260427T233416760564,0,control,gpt-4o,openai,0.05471768912527109,0.19290223981713672,0.9083009346000003,30.781261086600004,10.4518926471,20,15.53398,8.737864,13.592233,17.961165,14.077669,30.097086
openai_control_023_20260427T233421865971,0,control,gpt-4o,openai,0.05685313355055769,0.20006728122452952,0.9095588160000001,30.7829412624,10.8364213419,20,14.215686999999999,9.803922000000002,13.725491000000002,18.137255999999997,11.764705000000001,32.352940000000004
openai_technical_014_20260427T233426387274,2,technical,gpt-4o,openai,0.059717266105166006,0.1785572724296474,0.8236206971,29.394023238100004,13.430057638799997,20,17.816092,6.896552,19.540228999999997,17.241379000000002,19.54023,18.965518
openai_combined_010_20260427T233442877012,3,combined,gpt-4o,openai,0.05393078993790121,0.18704424428405797,0.9079187828,30.675634413999997,12.2205585933,20,16.751269,7.614213,17.258884,16.751269,14.213197,27.411167999999996
openai_control_012_20260427T233446771134,0,control,gpt-4o,openai,0.053973301656753,0.18987966519996738,0.8820418811,30.6554973032,10.7576438662,20,15.706807000000001,8.900524,13.612564999999998,20.418848,13.089004000000001,28.272251999999998
openai_combined_013_20260427T233450551878,3,combined,gpt-4o,openai,0.0540973531115314,0.1863303405179586,0.9245326124000001,31.114423936,12.508858712,20,16.521739000000004,8.152174,16.956521,16.086956,14.673914,27.608696
openai_technical_017_20260427T233459653141,2,technical,gpt-4o,openai,0.0542100497781803,0.1779085533476687,0.8437233961999999,29.881648635699996,12.6013298565,20,16.489362,7.446807999999999,18.617021,19.148936,17.553190999999998,20.744681
openai_control_027_20260427T233504381299,0,control,gpt-4o,openai,0.05900277391689771,0.20781164996675952,0.9374210842,31.4844220584,10.5531580708,20,15.263159000000002,8.421052,11.578947000000001,18.947369,12.105264,33.684212
openai_combined_018_20260427T233508588151,3,combined,gpt-4o,openai,0.05472971034965438,0.18966434112930777,0.9171957738,30.815608627799993,12.407989561900001,20,16.402116,7.936508000000001,16.931216999999997,16.931216999999997,13.227514000000001,28.571427999999997
openai_control_016_20260427T233528711049,0,control,gpt-4o,openai,0.055582784889716706,0.1959611763572199,0.9044554365000002,30.8713858299,10.6685147448,20,15.841584000000001,8.910891,13.861386000000001,18.811881,11.881188,30.693069
