run_id,condition_id,condition_name,hhi,sector_hhi,portfolio_beta,portfolio_vol,breadth
technical_004_20260416T010814878003,2,technical,0.0645725848215723,0.1701112625508553,0.7811866480000002,28.078949564,20
control_029_20260416T010831772830,0,control,0.05937972068117139,0.2083859381129182,0.918457733,29.854527790299997,20
control_027_20260416T010836671102,0,control,0.0575742733520037,0.2029218922808001,0.9106763316999998,29.630724824,20
combined_016_20260416T010841768509,3,combined,0.057901001804943085,0.18005087922238588,0.8437198015,28.357391587,20
combined_027_20260416T010846667428,3,combined,0.0575510211156464,0.1817233585623586,0.8496190564,28.4828094564,20
control_004_20260416T010851801202,0,control,0.06138733687432149,0.2145652834054697,0.9281406884000001,29.986984726,20
fundamental_024_20260416T010856559082,1,fundamental,0.10097311388086627,0.35611109635777144,1.0700673048,30.353046193799994,20
technical_015_20260416T010911263071,2,technical,0.06169602126201521,0.1702908819692592,0.7706793953,27.863153066299997,20
control_011_20260416T010927849481,0,control,0.06000000000000001,0.20930000000000004,0.9212,29.90415,20
technical_009_20260416T010932827272,2,technical,0.08456978878283372,0.1735864817193247,0.7729163601,27.4242942024,20
combined_021_20260416T010950372316,3,combined,0.0588017744674558,0.18472632998520716,0.8637980811,28.6203847637,20
control_013_20260416T011051141653,0,control,0.06086483270760639,0.2128412739932182,0.9256219132000001,29.9327367789,20
combined_026_20260416T011055911626,3,combined,0.057322483735207305,0.1801497737204143,0.8398076899000002,28.302451831800003,20
control_017_20260416T011101341706,0,control,0.060484270088226905,0.21184199055484812,0.9265346917,29.951486391400003,20
control_028_20260416T011106870197,0,control,0.06065000000000001,0.21120000000000003,0.9300999999999999,30.02045,20
fundamental_001_20260416T011111960134,1,fundamental,0.10358081073001532,0.36563981106712956,1.0683311562000002,30.2686888284,20
fundamental_005_20260416T011125199444,1,fundamental,0.10595594607428181,0.37448769984304286,1.0710756576,30.4230525689,20
combined_004_20260416T011141069611,3,combined,0.0587812485218213,0.18469935127467949,0.8572037713999999,28.589288866300002,20
control_003_20260416T011146089988,0,control,0.0593079148524657,0.20654839199392272,0.9116832074000001,29.8004962906,20
control_014_20260416T011150796188,0,control,0.05911456668673729,0.2066559368223297,0.9228985593,29.8586959388,20
technical_021_20260416T011155935713,2,technical,0.06903248762668289,0.1709158449553239,0.760453609,27.2631875083,20
